Periodo,Nuevos seguidores,Número de tweets,Retweets realizados,Mensajes recibidos,Nuevos seguidores,Número de posts,Número de Stories,Mensajes recibidos,Nuevos likes,Cantidad de posts,Cantidad de comentarios,Mensajes recibidos,Cantidad de artículos,Cantidad de comunicados,Cantidad de entrevistas
04 al 08 de enero,31,29,25,12,13,5,4,3,16,5,12,5,0,2,0
11 al 15 de enero,31,29,25,12,16,5,2,12,16,5,12,5,0,2,0
18 al 22 de enero,272,23,19,9,17,5,3,13,29,6,0,13,0,0,0
25 al 29 de enero,178,31,19,13,18,5,3,0,19,4,3,5,0,4,5
01 al 05 de febrero,78,34,18,12,21,5,1,3,21,5,16,13,1,1,6
08 al 12 de febrero,412,51,36,8,31,6,4,0,71,5,93,5,2,0,6
15 al 19 de febrero,121,39,28,5,12,6,4,0,19,6,8,7,2,1,7
22 al 26 de febrero,117,56,31,8,30,5,3,0,28,6,22,4,0,2,2
01 al 05 de marzo,41,36,25,7,18,7,5,0,18,5,7,3,2,2,2
08 al 12 de marzo,112,61,56,15,21,6,5,0,19,6,12,7,2,2,6
15 al 19 de marzo,81,54,29,5,21,8,4,7,15,5,5,5,0,3,0
22 al 26 de marzo,109,44,26,9,18,6,3,4,31,6,0,6,2,3,0
12 al 16 de abril,89,53,23,6,16,7,4,0,23,5,0,3,0,2,0
19 al 23 de abril,138,29,18,12,12,8,6,0,21,8,15,7,2,1,2
26 al 30 de abril,279,34,21,13,15,8,6,0,17,5,18,5,0,0,2
